Día,"Nombre de la campaña",Edad,Sexo,Alcance,Impresiones,"Importe gastado (EUR)","Clics (todos)","CPC (todos)","CTR (todos)","Inicio del informe","Fin del informe"
2020-12-19,EU_Conversions,18-24,unknown,32,46,0.02,0,,0,2020-12-19,2020-12-19
2020-12-19,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,male,564,603,2.1,3,0.7,0.49751244,2020-12-19,2020-12-19
2020-12-19,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,male,294,310,2.15,2,1.075,0.64516129,2020-12-19,2020-12-19
2020-12-19,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,female,147,152,0.54,0,,0,2020-12-19,2020-12-19
2020-12-19,EU_Conversions,25-34,female,7847,7847,8.97,159,0.05641509,2.02625207,2020-12-19,2020-12-19
2020-12-19,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,unknown,5,6,0.02,1,0.02,16.66666667,2020-12-19,2020-12-19
2020-12-19,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,unknown,6,6,0.02,0,,0,2020-12-19,2020-12-19
2020-12-19,EU_Conversions,18-24,female,19576,20051,17.74,304,0.05835526,1.51613386,2020-12-19,2020-12-19
2020-12-19,EU_Conversions_ViewContent,18-24,female,8372,8372,6.88,72,0.09555556,0.86000956,2020-12-19,2020-12-19
2020-12-19,EU_Conversions_ViewContent,25-34,female,1504,1658,1.45,19,0.07631579,1.14595899,2020-12-19,2020-12-19
2020-12-19,EU_Conversions_ViewContent,18-24,unknown,24,40,0.03,4,0.0075,10,2020-12-19,2020-12-19
2020-12-19,EU_Conversions_ViewContent,25-34,unknown,24,36,0.01,1,0.01,2.77777778,2020-12-19,2020-12-19
2020-12-19,EU_Conversions_ViewContent,25-34,male,4184,4295,3.32,38,0.08736842,0.88474971,2020-12-19,2020-12-19
2020-12-18,EU_Conversions_ViewContent,18-24,unknown,29,29,0,0,,0,2020-12-18,2020-12-18
2020-12-18,EU_Conversions,18-24,unknown,39,39,0.05,1,0.05,2.56410256,2020-12-18,2020-12-18
2020-12-18,EU_Conversions,25-34,unknown,42,42,0.07,3,0.02333333,7.14285714,2020-12-18,2020-12-18
2020-12-18,EU_Conversions,25-34,female,5888,6036,7.82,89,0.08786517,1.47448641,2020-12-18,2020-12-18
2020-12-18,EU_Conversions,25-34,male,6568,6631,5.08,62,0.08193548,0.93500226,2020-12-18,2020-12-18
2020-12-18,EU_Conversions,18-24,male,11384,11645,6.42,86,0.07465116,0.73851438,2020-12-18,2020-12-18
2020-12-18,EU_Conversions,18-24,female,15338,15338,12.63,203,0.06221675,1.32351024,2020-12-18,2020-12-18
2020-12-18,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,male,514,553,1.68,5,0.336,0.90415913,2020-12-18,2020-12-18
2020-12-18,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,female,33,34,0.15,0,,0,2020-12-18,2020-12-18
2020-12-18,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,unknown,4,5,0,1,0,20,2020-12-18,2020-12-18
2020-12-18,EU_Conversions_ViewContent,25-34,female,672,714,1.07,10,0.107,1.40056022,2020-12-18,2020-12-18
2020-12-18,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,unknown,1,1,0,0,,0,2020-12-18,2020-12-18
2020-12-18,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,female,124,127,0.4,0,,0,2020-12-18,2020-12-18
2020-12-18,EU_Conversions_ViewContent,25-34,unknown,12,13,0.01,0,,0,2020-12-18,2020-12-18
2020-12-18,EU_Conversions_ViewContent,25-34,male,3564,3764,3.74,26,0.14384615,0.69075452,2020-12-18,2020-12-18
2020-12-18,EU_Conversions_ViewContent,18-24,female,5424,5447,5.63,34,0.16558824,0.62419681,2020-12-18,2020-12-18
2020-12-18,EU_Conversions_ViewContent,18-24,male,11926,11926,9.56,68,0.14058824,0.57018279,2020-12-18,2020-12-18
2020-12-18,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,male,205,221,2.28,6,0.38,2.71493213,2020-12-18,2020-12-18
2020-12-17,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,female,206,214,0.99,1,0.99,0.46728972,2020-12-17,2020-12-17
2020-12-17,EU_Conversions,18-24,unknown,31,31,0.02,0,,0,2020-12-17,2020-12-17
2020-12-17,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,male,216,231,1.13,2,0.565,0.86580087,2020-12-17,2020-12-17
2020-12-17,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,male,717,759,2.85,7,0.40714286,0.92226614,2020-12-17,2020-12-17
2020-12-17,EU_Conversions_ViewContent,18-24,male,13482,13482,10.33,102,0.10127451,0.75656431,2020-12-17,2020-12-17
2020-12-17,EU_Conversions_ViewContent,25-34,unknown,8,9,0,0,,0,2020-12-17,2020-12-17
2020-12-17,EU_Conversions_ViewContent,18-24,unknown,30,30,0.01,1,0.01,3.33333333,2020-12-17,2020-12-17
2020-12-17,EU_Conversions_ViewContent,25-34,female,832,832,0.82,10,0.082,1.20192308,2020-12-17,2020-12-17
